CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_MUNICIPIO,NOMBRE_MUNICIPIO,CODIGO_DANE_MANZANA,CATEGORIA_MUNICIPIO,NIVEL_VULNERABILIDAD,TIPO_VULNERABILIDAD,IPM
11,BOGOTA,11001,BOGOTA,1100110000000011010101,ESPECIAL,Vulnerabilidad baja,1,23
11,BOGOTA,11001,BOGOTA,1100110000000011010102,ESPECIAL,Vulnerabilidad media,3,21
11,BOGOTA,11001,BOGOTA,1100110000000011010103,ESPECIAL,Vulnerabilidad media-baja,2,10
11,BOGOTA,11001,BOGOTA,1100110000000011010104,ESPECIAL,Vulnerabilidad media-alta,4,6
11,BOGOTA,11001,BOGOTA,1100110000000011010105,ESPECIAL,Vulnerabilidad media-baja,2,20
11,BOGOTA,11001,BOGOTA,1100110000000011010106,ESPECIAL,Vulnerabilidad media-baja,2,35
11,BOGOTA,11001,BOGOTA,1100110000000011010107,ESPECIAL,Vulnerabilidad media,3,26
11,BOGOTA,11001,BOGOTA,1100110000000011010108,ESPECIAL,Vulnerabilidad media-baja,2,24
11,BOGOTA,11001,BOGOTA,1100110000000011020101,ESPECIAL,Vulnerabilidad baja,1,7
11,BOGOTA,11001,BOGOTA,1100110000000011020102,ESPECIAL,Vulnerabilidad baja,1,12
11,BOGOTA,11001,BOGOTA,1100110000000011020103,ESPECIAL,Vulnerabilidad media-baja,2,14
11,BOGOTA,11001,BOGOTA,1100110000000011020104,ESPECIAL,Vulnerabilidad media-baja,2,8
11,BOGOTA,11001,BOGOTA,1100110000000011020105,ESPECIAL,Vulnerabilidad baja,1,1
11,BOGOTA,11001,BOGOTA,1100110000000011020107,ESPECIAL,Vulnerabilidad media-baja,2,17
11,BOGOTA,11001,BOGOTA,1100110000000011020109,ESPECIAL,Vulnerabilidad media-baja,2,12
11,BOGOTA,11001,BOGOTA,1100110000000011020110,ESPECIAL,Vulnerabilidad media-baja,2,7
11,BOGOTA,11001,BOGOTA,1100110000000011020111,ESPECIAL,Vulnerabilidad media-baja,2,14
11,BOGOTA,11001,BOGOTA,1100110000000011020113,ESPECIAL,Vulnerabilidad baja,1,3
11,BOGOTA,11001,BOGOTA,1100110000000011020116,ESPECIAL,Vulnerabilidad media,3,7
11,BOGOTA,11001,BOGOTA,1100110000000011020118,ESPECIAL,Vulnerabilidad media-baja,2,8
11,BOGOTA,11001,BOGOTA,1100110000000011020119,ESPECIAL,Vulnerabilidad baja,1,24
11,BOGOTA,11001,BOGOTA,1100110000000011020120,ESPECIAL,Vulnerabilidad media-baja,2,3
11,BOGOTA,11001,BOGOTA,1100110000000011020201,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011020202,ESPECIAL,Vulnerabilidad baja,1,21
11,BOGOTA,11001,BOGOTA,1100110000000011020203,ESPECIAL,Vulnerabilidad media,3,12
11,BOGOTA,11001,BOGOTA,1100110000000011020204,ESPECIAL,Vulnerabilidad media-baja,2,21
11,BOGOTA,11001,BOGOTA,1100110000000011020205,ESPECIAL,Vulnerabilidad baja,1,16
11,BOGOTA,11001,BOGOTA,1100110000000011020206,ESPECIAL,Vulnerabilidad media-baja,2,18
11,BOGOTA,11001,BOGOTA,1100110000000011020207,ESPECIAL,Vulnerabilidad baja,1,16
11,BOGOTA,11001,BOGOTA,1100110000000011020208,ESPECIAL,Vulnerabilidad baja,1,14
11,BOGOTA,11001,BOGOTA,1100110000000011020209,ESPECIAL,Vulnerabilidad media-baja,2,19
11,BOGOTA,11001,BOGOTA,1100110000000011020210,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011020211,ESPECIAL,Vulnerabilidad media,3,9
11,BOGOTA,11001,BOGOTA,1100110000000011020212,ESPECIAL,Vulnerabilidad baja,1,8
11,BOGOTA,11001,BOGOTA,1100110000000011020213,ESPECIAL,Vulnerabilidad baja,1,8
11,BOGOTA,11001,BOGOTA,1100110000000011020215,ESPECIAL,Vulnerabilidad baja,1,8
11,BOGOTA,11001,BOGOTA,1100110000000011020219,ESPECIAL,Vulnerabilidad media-baja,2,1
11,BOGOTA,11001,BOGOTA,1100110000000011020301,ESPECIAL,Vulnerabilidad media,3,17
11,BOGOTA,11001,BOGOTA,1100110000000011020302,ESPECIAL,Vulnerabilidad media-baja,2,9
11,BOGOTA,11001,BOGOTA,1100110000000011020303,ESPECIAL,Vulnerabilidad baja,1,10
11,BOGOTA,11001,BOGOTA,1100110000000011020304,ESPECIAL,Vulnerabilidad media,3,7
11,BOGOTA,11001,BOGOTA,1100110000000011020306,ESPECIAL,Vulnerabilidad baja,1,21
11,BOGOTA,11001,BOGOTA,1100110000000011020307,ESPECIAL,Vulnerabilidad media-baja,2,19
11,BOGOTA,11001,BOGOTA,1100110000000011020309,ESPECIAL,Vulnerabilidad media,3,23
11,BOGOTA,11001,BOGOTA,1100110000000011020310,ESPECIAL,Vulnerabilidad media-baja,2,13
11,BOGOTA,11001,BOGOTA,1100110000000011020312,ESPECIAL,Vulnerabilidad baja,1,36
11,BOGOTA,11001,BOGOTA,1100110000000011020319,ESPECIAL,Vulnerabilidad baja,1,50
11,BOGOTA,11001,BOGOTA,1100110000000011020320,ESPECIAL,Vulnerabilidad baja,1,12
11,BOGOTA,11001,BOGOTA,1100110000000011020324,ESPECIAL,Vulnerabilidad media-baja,2,10
11,BOGOTA,11001,BOGOTA,1100110000000011020325,ESPECIAL,Vulnerabilidad baja,1,12
11,BOGOTA,11001,BOGOTA,1100110000000011020326,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011020327,ESPECIAL,Vulnerabilidad baja,1,14
11,BOGOTA,11001,BOGOTA,1100110000000011020328,ESPECIAL,Vulnerabilidad baja,1,25
11,BOGOTA,11001,BOGOTA,1100110000000011030102,ESPECIAL,Vulnerabilidad media-baja,2,28
11,BOGOTA,11001,BOGOTA,1100110000000011030103,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011030104,ESPECIAL,Vulnerabilidad media-baja,2,7
11,BOGOTA,11001,BOGOTA,1100110000000011030105,ESPECIAL,Vulnerabilidad media,3,18
11,BOGOTA,11001,BOGOTA,1100110000000011030106,ESPECIAL,Vulnerabilidad baja,1,25
